k_fraction,K,rank,rank_normalized,mean_eigenvalue,std_eigenvalue
0.75,94,67,0.7127659574468085,14.677738244491422,0.6964356259200647
0.75,94,68,0.723404255319149,14.32089897036726,0.45713643212002925
0.75,94,69,0.7340425531914894,14.082409420670247,0.40526367353735676
0.75,94,70,0.7446808510638298,13.840167288548367,0.43990458622335843
0.75,94,71,0.7553191489361702,13.543586718144043,0.46834607296507147
0.75,94,72,0.7659574468085106,13.24257697716928,0.5056158178077819
0.75,94,73,0.776595744680851,12.95385327916652,0.5299738113076108
0.75,94,74,0.7872340425531915,12.697133571138652,0.549582190511876
0.75,94,75,0.7978723404255319,12.362982551775339,0.6230347793214595
0.75,94,76,0.8085106382978723,11.909086512365906,0.7775577842512331
0.75,94,77,0.8191489361702128,11.495496161747624,0.9006313473929966
0.75,94,78,0.8297872340425532,10.912009912899324,0.8095752106209968
0.75,94,79,0.8404255319148937,10.331994607357515,0.785381867304723
0.75,94,80,0.851063829787234,9.821440570175108,0.8685828336509873
0.75,94,81,0.8617021276595744,9.159188571302355,0.9571744728401762
0.75,94,82,0.8723404255319149,8.524357199761795,1.0253352527333623
0.75,94,83,0.8829787234042553,7.72911230283647,1.094421229165972
0.75,94,84,0.8936170212765957,7.019916892501202,1.0078317470705107
0.75,94,85,0.9042553191489362,6.296101158979444,0.9942092046644379
0.75,94,86,0.9148936170212766,5.741961736727655,0.8857213137668489
0.75,94,87,0.925531914893617,5.181858569311386,0.729605163711786
0.75,94,88,0.9361702127659575,4.560679785149024,0.7353574464507755
0.75,94,89,0.9468085106382979,3.9752150500749344,0.7342311426336054
0.75,94,90,0.9574468085106383,3.3954297598014453,0.6293059868787159
0.75,94,91,0.9680851063829787,2.80547911379558,0.5388537176854762
0.75,94,92,0.9787234042553191,2.235508965969849,0.5644319687403997
0.75,94,93,0.9893617021276596,1.6262762034475464,0.43406002129361915
0.75,94,94,1.0,1.3940220312217866,0.23406003338761364
