k_fraction,K,rank,rank_normalized,mean_eigenvalue,std_eigenvalue
0.75,94,49,0.5212765957446809,0.07590297915478962,0.0023583497891729093
0.75,94,50,0.5319148936170213,0.0730211342348389,0.0024740998910047474
0.75,94,51,0.5425531914893617,0.07063864426152758,0.002462610925003887
0.75,94,52,0.5531914893617021,0.06797678799028453,0.002153755462756897
0.75,94,53,0.5638297872340425,0.06565858585030054,0.001965964474488066
0.75,94,54,0.574468085106383,0.06299587632933835,0.0021723666718489786
0.75,94,55,0.5851063829787234,0.060691383675876114,0.0021757650551032263
0.75,94,56,0.5957446808510638,0.058228594875879135,0.0022662338734413447
0.75,94,57,0.6063829787234043,0.05595578701824867,0.0020319841865991833
0.75,94,58,0.6170212765957447,0.05354600363454267,0.0020193581965472825
0.75,94,59,0.6276595744680851,0.051125809789339,0.0017646660279817478
0.75,94,60,0.6382978723404256,0.04885592808237384,0.0019477025106727959
0.75,94,61,0.648936170212766,0.046723652175960195,0.0017839424029928957
0.75,94,62,0.6595744680851063,0.04501681132097148,0.0016687700386937361
0.75,94,63,0.6702127659574468,0.042900370899509384,0.0014336169700746467
0.75,94,64,0.6808510638297872,0.04064671628332062,0.0013394593479762798
0.75,94,65,0.6914893617021277,0.038776370677052564,0.0012723213410786834
0.75,94,66,0.7021276595744681,0.037034406864916214,0.001393586996488856
0.75,94,67,0.7127659574468085,0.03486283712428312,0.0014098891082895508
0.75,94,68,0.723404255319149,0.03304026610301411,0.0014862969577753198
0.75,94,69,0.7340425531914894,0.0312694703924791,0.001409837719507928
0.75,94,70,0.7446808510638298,0.029718208601879167,0.0013052174630842908
0.75,94,71,0.7553191489361702,0.028121816571481544,0.0012156552338882102
0.75,94,72,0.7659574468085106,0.026539529729374612,0.0010518720952615549
0.75,94,73,0.776595744680851,0.024968239315381117,0.0010199675856334327
0.75,94,74,0.7872340425531915,0.023494338924756216,0.0010632413055484031
0.75,94,75,0.7978723404255319,0.022000230976761525,0.0008493101863011908
0.75,94,76,0.8085106382978723,0.02067795796388451,0.0008984975842770897
0.75,94,77,0.8191489361702128,0.019462986816234856,0.0008208333989082743
0.75,94,78,0.8297872340425532,0.01832757969670988,0.0009843102256133112
0.75,94,79,0.8404255319148937,0.017088653465446788,0.0009047115179435305
0.75,94,80,0.851063829787234,0.015805036598182175,0.0009151872153231958
0.75,94,81,0.8617021276595744,0.014701179374516234,0.0009935916335031042
0.75,94,82,0.8723404255319149,0.013645442994324684,0.0008588294120688549
0.75,94,83,0.8829787234042553,0.012432522533079042,0.0007819846790460518
0.75,94,84,0.8936170212765957,0.01147123786554668,0.0009001061684497648
0.75,94,85,0.9042553191489362,0.010458077370909062,0.0007162797945620475
0.75,94,86,0.9148936170212766,0.009458388172432056,0.0006492271220907617
0.75,94,87,0.925531914893617,0.008559428137794381,0.0006918929487379425
0.75,94,88,0.9361702127659575,0.00758205961988726,0.0005373348454444887
0.75,94,89,0.9468085106382979,0.006703198043217896,0.0005530873670091897
0.75,94,90,0.9574468085106383,0.005802558067220322,0.00046763437207015304
0.75,94,91,0.9680851063829787,0.0049996830197120866,0.0005170063410860761
0.75,94,92,0.9787234042553191,0.004272163628962313,0.0005296722880824825
0.75,94,93,0.9893617021276596,0.0035239152781568763,0.0005103571423653579
0.75,94,94,1.0,0.00257272092218328,0.0005167706014750272
