k_fraction,K,rank,rank_normalized,mean_eigenvalue,std_eigenvalue
0.75,94,47,0.5,0.8594701724484766,0.04018541843595053
0.75,94,48,0.5106382978723404,0.8396610467337091,0.039828158737692576
0.75,94,49,0.5212765957446809,0.8234378706620847,0.03798481537290406
0.75,94,50,0.5319148936170213,0.8073954442008295,0.036948134712064234
0.75,94,51,0.5425531914893617,0.7935295971422398,0.03250037726316551
0.75,94,52,0.5531914893617021,0.7787508746034552,0.02831809206648696
0.75,94,53,0.5638297872340425,0.7665694221562953,0.028630205823905453
0.75,94,54,0.574468085106383,0.7551941615170438,0.028243142820499396
0.75,94,55,0.5851063829787234,0.7422013525372754,0.026523312265867956
0.75,94,56,0.5957446808510638,0.731289709411014,0.026742069044638158
0.75,94,57,0.6063829787234043,0.7192404236068781,0.027692118054950567
0.75,94,58,0.6170212765957447,0.7077473909760039,0.02808400276802842
0.75,94,59,0.6276595744680851,0.6954959427955272,0.028250730502955415
0.75,94,60,0.6382978723404256,0.6844139730967298,0.02742507958152879
0.75,94,61,0.648936170212766,0.673642309583737,0.026056410093021266
0.75,94,62,0.6595744680851063,0.6595911287406203,0.02576463374907846
0.75,94,63,0.6702127659574468,0.6478283970364562,0.025837422370846505
0.75,94,64,0.6808510638297872,0.6375677446966259,0.024771579398001488
0.75,94,65,0.6914893617021277,0.6278342748244523,0.023754716214744256
0.75,94,66,0.7021276595744681,0.61605994115421,0.023325782026005826
0.75,94,67,0.7127659574468085,0.6071464589977047,0.02318460507263164
0.75,94,68,0.723404255319149,0.597150876682793,0.020600339889297693
0.75,94,69,0.7340425531914894,0.5866467202802692,0.0209837534546172
0.75,94,70,0.7446808510638298,0.5764664501841346,0.021750820890755952
0.75,94,71,0.7553191489361702,0.5669889869560764,0.02211900921118405
0.75,94,72,0.7659574468085106,0.5539182038568832,0.023611955914703286
0.75,94,73,0.776595744680851,0.5435928569046758,0.025419456018779162
0.75,94,74,0.7872340425531915,0.5332327668434929,0.025641238062083935
0.75,94,75,0.7978723404255319,0.519652342043464,0.02564774625641419
0.75,94,76,0.8085106382978723,0.5049994778930019,0.026655701463854806
0.75,94,77,0.8191489361702128,0.48708626020899437,0.028423390315287417
0.75,94,78,0.8297872340425532,0.4724634210978642,0.028753100209233176
0.75,94,79,0.8404255319148937,0.45772691879278143,0.02655986261302441
0.75,94,80,0.851063829787234,0.4438792376817757,0.022458289476329885
0.75,94,81,0.8617021276595744,0.4311810951868481,0.01909833128016308
0.75,94,82,0.8723404255319149,0.4195199926659469,0.017505633930220338
0.75,94,83,0.8829787234042553,0.4061725990504223,0.017268777731565123
0.75,94,84,0.8936170212765957,0.39694672587260266,0.016498793519574385
0.75,94,85,0.9042553191489362,0.3853943310973741,0.0173945816011115
0.75,94,86,0.9148936170212766,0.37354858652212,0.017878445430134282
0.75,94,87,0.925531914893617,0.36157667038244723,0.01718469570145204
0.75,94,88,0.9361702127659575,0.3515561955260857,0.015295609431177106
0.75,94,89,0.9468085106382979,0.34063500975162553,0.013553231612932145
0.75,94,90,0.9574468085106383,0.3304128996689945,0.009832111924901117
0.75,94,91,0.9680851063829787,0.3188041918187567,0.011201738595755666
0.75,94,92,0.9787234042553191,0.3053590434185098,0.010143588568064028
0.75,94,93,0.9893617021276596,0.2925141324936369,0.0069795254979673396
0.75,94,94,1.0,0.27750896171881967,0.007805055884648224
